ImagePath,Label,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69
train_nb\bcc\bcc00001.jpg,bcc,14.334269439027285,26.409650609816023,8.830026409339382,14.552427156045562,1.7367435212098317,2.3304583400972536,1.614904538474212,1.9800489130290244,0.5068891483406341,0.44252484252688007,0.494681494683144,0.44948565335265595,0.06259116796135603,0.05604078175313212,0.06092554229783728,0.056430878465457045,0.9773893960432386,0.9582451925684432,0.986069756032086,0.9769916936535226,0.00391765430676668,0.0031405692195021857,0.0037119217042855595,0.003184444044383184,0.8398562243514764,9.296258490162455,-0.05556568316677867,0.0024562886973493354,314.1404325727148,1250.3536020012714,11.046080719952528,16.027967123622783,11.046080719952528,15866.0,23368.0,15511.0,39039.0,54057.0,56923.0,34113.0,36883.0,48008.0,53228.0,2449.0,2919.0,0.0,9.0,1871.0,0.0,0.0,0.0,0.0,34.0,3.0,0.0,28.0,90826.0,225839.0,0.0,209.0,25275.0,0.0,0.0,0.0,0.0,60.0,1769.0,0.0,28.0,25677.0
train_nb\bcc\bcc00002.jpg,bcc,3.7523632904868003,6.445978779516194,3.4762847320010026,5.504953841322762,0.76925570298261,1.0041408418469897,0.7692955561105463,0.9491229984378764,0.7727631131367638,0.7498076327006375,0.7732333933148062,0.7538822916299496,0.5249165508828565,0.5232532445804,0.5247553471988117,0.5232203486325141,0.9993184676204137,0.9988302979954494,0.9993686111009102,0.9990010585260413,0.2755373853907545,0.27379395796391587,0.2753681744137454,0.2737595332231296,0.9341496515399431,180.2053793960287,0.7787486590474162,0.13026174265539767,69.75461376771419,11011.766508555556,7.2948712567696266,4.793933000155554,7.2948712567696266,7814.0,10683.0,5403.0,15352.0,27491.0,25368.0,11722.0,14646.0,236008.0,22509.0,271632.0,3164.0,0.0,0.0,775.0,0.0,0.0,0.0,0.0,6197.0,8563.0,0.0,669.0,85966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
train_nb\bcc\bcc00003.jpg,bcc,5.5953207114048515,19.018019048937006,15.990735476191821,18.03737402499939,1.3992167531922355,2.2329196926835517,1.8689815134623813,2.090241611202631,0.5251425793019209,0.4332923568913213,0.4980668793066955,0.4559501876106818,0.07106264435517615,0.060658475517512064,0.06766046897837072,0.06319392804181104,0.9860328647630766,0.9525569227790139,0.9600967321351753,0.9550038574897499,0.005049899422750248,0.0036794506521086105,0.004577939062373067,0.003993472541353592,0.8670029061471345,2.5403918553688034,-0.02026495174082088,0.0036741292639376933,238.1338102322539,786.863106081451,10.805955320483902,14.657210453751972,10.805955320483902,10848.0,19329.0,13330.0,45692.0,64456.0,71334.0,34458.0,34602.0,40876.0,42071.0,16.0,42864.0,0.0,0.0,74183.0,45.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,200026.0,59480.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,121.0
train_nb\bcc\bcc00004.jpg,bcc,4.683090583502902,7.516389058171474,4.683000249746253,8.570212018554079,1.0202055358651576,1.2627385441587844,1.025970955040359,1.349733479877276,0.7025013704440617,0.6788147836125304,0.6993438151004462,0.6726836098167525,0.31739040327319784,0.3131026178723279,0.31431509610845326,0.31298787464380523,0.9996560539624991,0.9994484409828683,0.9996560606104574,0.9993711105558579,0.10073666808992314,0.098033249318505,0.0987939796416662,0.09796140967404635,0.926854812418701,932.4684546212154,2.6516954229577103,0.06880400345143461,113.28711654973536,27236.94218813178,8.44832688286804,6.361803680378009,8.44832688286804,12180.0,16685.0,5287.0,21631.0,35729.0,36181.0,13362.0,19419.0,184031.0,32491.0,259105.0,3395.0,4.0,0.0,1478.0,596.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5352.0,53553.0,0.0,0.0,24918.0,0.0,0.0,0.0,0.0,0.0,933.0,0.0,0.0,27660.0
train_nb\bcc\bcc00005.jpg,bcc,24.7923917721888,39.288326072666614,16.47991402351858,25.022295612463985,1.8310971300434162,2.392892974141068,1.7660275996195374,2.1809116771208052,0.5476576884576226,0.5021909777161263,0.5417244870301893,0.5066610233580071,0.08406470344112858,0.08074639246686019,0.0834236717709152,0.08083053722111884,0.9986775584314688,0.9979027910921805,0.9991209416639217,0.9986643099640234,0.007066874364644895,0.006519979896412216,0.006959509011741394,0.006533575747454679,0.903478515375634,1075.0679605928472,-1.1498860773330761,0.011825418034410643,238.0676506446179,37454.58570047561,11.187629952069274,26.39103783681734,11.187629952069274,17538.0,24696.0,9742.0,29360.0,49707.0,45274.0,24542.0,33692.0,85623.0,56822.0,160566.0,748.0,0.0,0.0,86.0,1.0,0.0,0.0,0.0,85.0,466.0,0.0,0.0,14516.0,5063.0,0.0,23.0,13480.0,0.0,0.0,0.0,0.0,338.0,466.0,0.0,145.0,181013.0
train_nb\bcc\bcc00006.jpg,bcc,5.343249677189659,8.058001059161407,5.352538112874692,7.9638900494719165,1.1688523893278666,1.4601337523851132,1.180951798970192,1.465147470919636,0.5846633855666524,0.526211600597706,0.5805641971198938,0.5237177245385466,0.07824424204957615,0.07164711464759696,0.07783997497754164,0.07149261753171315,0.9958230469686664,0.993694133597286,0.9958151584054324,0.9937683731953486,0.00612216141391266,0.005133309037325902,0.006059061704504308,0.005111194361535818,0.9602355052698364,23.91007710709746,-0.15175483142996266,0.004576873526725352,281.73895135418286,2550.2193331132853,10.65916557223459,6.678334536549177,10.65916557223459,11335.0,20284.0,11395.0,43680.0,49376.0,69633.0,33886.0,39453.0,54522.0,43432.0,1062.0,39919.0,0.0,0.0,12525.0,1.0,0.0,0.0,0.0,0.0,120.0,1.0,0.0,60532.0,262827.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
train_nb\bcc\bcc00007.jpg,bcc,37.60010840050778,65.98384645886125,33.11028954625867,46.80569179469268,3.293823827919488,4.32174021805956,3.354132237992246,3.9356519563881256,0.3612130389994951,0.319776629277921,0.3440008111469152,0.3180759452188755,0.037445014405313885,0.03437331944109638,0.03608489995452133,0.034062693240445405,0.9744028283618121,0.9550784329898042,0.9774436821325979,0.968138848345936,0.0014021291038141645,0.0011815250893996545,0.0013021200047278133,0.0011602670707926853,0.9243716710617894,22.466011837051038,-0.10816832552129967,0.0010529800532074012,299.87052533334395,2891.3359493962316,12.688429187472737,45.86641046811079,12.688429187472737,22841.0,26351.0,18089.0,37413.0,63855.0,43440.0,27755.0,33249.0,44043.0,59960.0,1532.0,18905.0,43.0,0.0,44127.0,26524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15057.0,223355.0,0.0,2.0,47135.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,303.0
train_nb\bcc\bcc00008.jpg,bcc,5.924643048817409,8.84150901218575,6.13239474788911,9.12499966734889,1.6395603402925754,1.9981611042954628,1.6653957946979394,2.0427124110823462,0.4545158708904919,0.40603571525202364,0.4499167638970919,0.40003870702789784,0.04758455287235563,0.043886982991210334,0.047232041917408825,0.04322527870522858,0.9983902429451875,0.9975852167999818,0.9983355617473788,0.9975095881415298,0.002264289672062008,0.0019260672760707854,0.0022308657836878644,0.0018684247191446876,0.9609847115890454,251.92327657129977,-0.8700596549181852,0.0019018787450924082,292.2699850163066,7331.609741631308,11.776242681137546,7.504682570388127,11.776242681137546,17019.0,23706.0,18557.0,43642.0,51370.0,54597.0,35708.0,34550.0,43203.0,54644.0,29046.0,1020.0,0.0,0.0,5166.0,0.0,0.0,0.0,0.0,2068.0,1126.0,0.0,16.0,107517.0,77610.0,0.0,3.0,217.0,0.0,0.0,0.0,0.0,18161.0,69421.0,0.0,70.0,65555.0
train_nb\bcc\bcc00009.jpg,bcc,4.214253072676158,7.0411396363191825,4.628210169455482,7.378815176345099,0.8928561939731425,1.1444584305783698,0.93909113613297,1.1997530397664622,0.7371255728558443,0.711495104304298,0.7282806419384705,0.7038820173111677,0.45664752088372296,0.4539532312370598,0.45527643250056854,0.4539741524476407,0.9996489055637134,0.9994138900340886,0.9996144183600976,0.9993857816582581,0.2085269583292502,0.20607353615056748,0.20727662999044474,0.20609253109055373,0.9414584447142208,695.027794442756,2.0975672350376815,0.11184323360601794,107.52472309416594,24010.71762985318,7.6770342484972085,5.814468105473502,7.6770342484972085,9804.0,13304.0,5199.0,18687.0,35372.0,30429.0,12185.0,12647.0,216258.0,23111.0,257690.0,3635.0,148.0,0.0,2589.0,433.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10797.0,67891.0,0.0,0.0,30725.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,3044.0
train_nb\bcc\bcc00010.jpg,bcc,11.804394924172085,20.38278572242193,15.473130937629124,18.817781735717826,2.3442690601464875,3.1035818206293873,2.6260842627013585,2.9816404510670855,0.3618680910992437,0.2937899651379988,0.3401498172996297,0.30804144780795367,0.036288382035664514,0.031855034971168726,0.03455780929868015,0.032372034769117264,0.9933392095059977,0.9884908674865214,0.9912982970311507,0.9893095784896009,0.0013168466707663392,0.0010147432530143825,0.0011942421835239444,0.001047948635092937,0.9606328623477217,187.82516271779826,-0.8231056896981565,0.0008916756264990489,334.3635658754445,3512.7332259413843,12.43955630859205,16.614258539409477,12.43955630859205,6048.0,7770.0,5866.0,10060.0,11243.0,11325.0,8519.0,9369.0,10597.0,16403.0,797.0,2999.0,0.0,0.0,743.0,0.0,0.0,0.0,0.0,0.0,172.0,26.0,0.0,8381.0,42897.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,9175.0,0.0,0.0,31385.0
