ImagePath,Label,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69
train_nb\mel\mel00002.jpg,mel,14.961908380315766,53.45715585905155,29.813705225010732,19.763809680947674,1.554635981529401,2.7332270623707875,2.1010675324537282,1.9114589016124381,0.574321347738449,0.5068626971182078,0.5519353130701325,0.5196090663687425,0.07373163216795506,0.06671413382830355,0.07165363831710529,0.06773108560737225,0.9819607095705624,0.9355163910862836,0.9640710813680798,0.976161507332195,0.005436353582150625,0.004450775652460796,0.005134243884078539,0.004587499957553188,0.7471289080410702,7.862613202816175,-0.0628118513245068,0.0037565595206281717,252.92388629410848,1629.0586432331427,10.904032235332064,29.49334907485332,10.904032235332064,13830.0,23460.0,11091.0,39620.0,47809.0,56014.0,30777.0,39876.0,61235.0,53284.0,3544.0,33658.0,0.0,0.0,30087.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,309677.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
train_nb\mel\mel00003.jpg,mel,14.166130197049416,22.8511872094108,16.768339529120226,21.847469737291767,2.7719900959455135,3.5967733584616495,3.065716646014043,3.5046546064553548,0.30812313339619374,0.24803051344155058,0.2833498093789463,0.2537786880151802,0.03371583184278724,0.029569789879078927,0.03176080314707501,0.02989991258924235,0.9895073904959414,0.9830568208533916,0.9876029412994538,0.9837402468182289,0.0011367573168511059,0.0008743724734928786,0.00100874861654725,0.0008940047728443332,0.9641612798560378,97.42741778214285,-0.4457383212956169,0.0006900793978992639,324.8856613390125,2673.9698400979464,12.576895537169369,18.90239382598627,12.576895537169369,6063.0,7813.0,6627.0,10648.0,12043.0,11444.0,8752.0,8760.0,9742.0,15308.0,442.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3743.0,3.0,0.0,22721.0,13506.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5164.0,17164.0,0.0,31.0,34118.0
train_nb\mel\mel00004.jpg,mel,7.099401671705819,12.733243029627477,8.059088904357735,13.387440156053556,1.844485124155779,2.4239413043652047,1.959434829508317,2.488877475257428,0.44064114903142143,0.3854291590969306,0.42639037599263796,0.37801620452022094,0.05723065831813839,0.054306992474296926,0.056661712309875274,0.05401301007248102,0.9993573743388973,0.9988455334533367,0.9992707442250034,0.9987862452376012,0.0032753482515275024,0.002949249431603343,0.0032105496418870713,0.0029174052570899362,0.9278933312820201,518.4735579328058,-1.1120280422390771,0.006398316295531083,237.83242460622932,22064.408374730898,12.156198308359508,10.317559904859529,12.156198308359508,12945.0,19284.0,15103.0,46472.0,74766.0,61807.0,30473.0,27266.0,44855.0,44025.0,114938.0,19039.0,0.0,0.0,10338.0,0.0,0.0,0.0,0.0,597.0,2718.0,0.0,14.0,42292.0,20533.0,0.0,0.0,3857.0,0.0,0.0,0.0,0.0,1893.0,18063.0,0.0,46.0,142668.0
train_nb\mel\mel00005.jpg,mel,99.19486585436978,130.6143082585284,78.34457811478673,136.96031604522676,5.61857368311978,6.7891816514934336,5.081616549144193,6.700406366677538,0.23441799733277383,0.18972212420011023,0.2471895370369999,0.2009933839130213,0.020127733876138837,0.017846431644332448,0.020892548217884555,0.018323037119409462,0.9708795186131896,0.9615259989068884,0.9770010382835715,0.9596600954908798,0.00040512567098866686,0.0003184951224358306,0.000436498571036631,0.00033573368927925705,0.954290088497195,118.42792053839904,-0.26614669160284776,0.0003689418747033508,290.7043838271836,6689.887527019449,14.157553192309765,111.26017249195972,14.157553192309765,18354.0,21295.0,22399.0,49231.0,75114.0,61138.0,34965.0,26200.0,27427.0,40873.0,16102.0,26609.0,20.0,105.0,5264.0,306.0,0.0,0.0,0.0,981.0,3406.0,310.0,1214.0,86696.0,125288.0,0.0,78.0,2075.0,0.0,0.0,0.0,0.0,15094.0,31263.0,0.0,3195.0,58990.0
train_nb\mel\mel00006.jpg,mel,6.0317445579283815,11.03313624172899,8.070363486162801,10.420623168446106,1.5759929846280842,2.1769993062099435,1.893907476249478,2.128796429569961,0.4805900538317212,0.39404373979486756,0.42583195520453526,0.39840606219521074,0.06507848167395103,0.056724337286904736,0.059373496333501634,0.057007869702940576,0.9971114388188727,0.9947324405057882,0.9961369741313323,0.9950248922536427,0.0042352087769867795,0.003217650440638531,0.003525212066864332,0.00324989720806745,0.9500806259489449,335.5479230363463,-1.5662493378257218,0.0030187742949301134,320.0560799354892,4174.273584633094,11.229358198339318,8.885746629724588,11.229358198339318,4674.0,7025.0,4848.0,9694.0,11913.0,12737.0,9027.0,9689.0,11897.0,15696.0,3873.0,2417.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,104.0,1127.0,0.0,0.0,10791.0,13348.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,605.0,34742.0,0.0,0.0,30150.0
train_nb\mel\mel00007.jpg,mel,3.5895074684761754,5.360681695403296,3.9210881498052563,5.244184592129756,1.3338416821208252,1.5622416963613301,1.3466717324420427,1.5486535610973828,0.5066114162392451,0.4688180817950933,0.50678487985916,0.47196777323100425,0.060987390750588656,0.05751572710403524,0.06103861938663037,0.05778848422806511,0.9912437609545222,0.9869102315283936,0.9904423771765497,0.9872106839867693,0.0037194618305649864,0.003308058864305854,0.0037257130566259286,0.00333950890937733,0.9700717712877548,1.3863039130718031,-0.002160711749525493,0.0022249521705083155,284.0611838580285,814.9059256046265,10.771730276318658,4.528235021957027,10.771730276318658,25674.0,32470.0,15041.0,26123.0,27675.0,33794.0,29962.0,41268.0,66216.0,78773.0,0.0,1711.0,0.0,0.0,1760.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,0.0,322024.0,9786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23991.0,12944.0,0.0,68.0,2824.0
train_nb\mel\mel00008.jpg,mel,8.09954779984161,20.620402428087488,20.24949120840002,26.617890246401316,1.5125005977969164,2.266254001793686,2.035655265129573,2.439477444919642,0.5780114788763611,0.5210727234982813,0.5473365519916713,0.5118752269715622,0.16746073418921592,0.16280765102744704,0.16600147881126864,0.16331064122883845,0.9995359473288179,0.9988184932096369,0.9988398539167241,0.9984748496421915,0.02804309749519123,0.026506331233074974,0.02755649096752807,0.02667036553857439,0.8732838225232666,934.903538445579,0.5199554279051118,0.03156746451178021,193.1567291674145,34887.86299577988,10.769922183577751,18.892984254491452,10.769922183577751,11456.0,17618.0,9537.0,33206.0,55022.0,49918.0,19935.0,22960.0,121712.0,35632.0,191162.0,2608.0,0.0,59.0,1861.0,0.0,0.0,0.0,0.0,835.0,49.0,0.0,948.0,21222.0,7068.0,0.0,68.0,14263.0,0.0,0.0,0.0,0.0,1390.0,1004.0,0.0,1122.0,133337.0
train_nb\mel\mel00009.jpg,mel,7.759090416370566,11.116133809845799,6.6997910639665585,12.43749798770084,1.97119009478844,2.39135194307608,1.842028286724526,2.4963698122927274,0.40539255772635713,0.3518447584775204,0.421915789893803,0.3436444809289923,0.054696539668132656,0.04991881610213006,0.056087550324913735,0.04925942389786811,0.9963664854618955,0.9948026483387513,0.9968644691496582,0.9941849450489979,0.002991711451667609,0.0024918882010382796,0.0031458133014497305,0.00242649084274986,0.9387863602251926,92.26671691531489,-0.47258041542793144,0.0024323930425518016,309.7627049818827,4265.314603875097,11.6751625479957,9.500911142269866,11.6751625479957,10459.0,18856.0,13421.0,28481.0,29254.0,33049.0,27103.0,21970.0,27930.0,38967.0,1213.0,23022.0,0.0,0.0,7603.0,26222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,145164.0,0.0,0.0,46130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
train_nb\mel\mel00010.jpg,mel,100.32882492520423,131.8710482442972,86.18663775299538,138.59485766948623,5.840988342102448,6.783786022718965,5.265365551425005,7.019829969659569,0.2382162281807592,0.2175076284321709,0.25443779371170333,0.20774843019613284,0.02280315622633243,0.021121503726075398,0.023050418213285465,0.020885874194512013,0.9898212477458399,0.9866050177447785,0.9912845929292159,0.9859140816894985,0.0005199839338825235,0.00044611791965061694,0.0005313217798073623,0.0004362197408689828,0.9639035200545004,2000.7854183649831,-4.862401922906063,0.0011914854023653957,307.785279340005,19595.414170242868,14.08366582345055,114.21292180133985,14.08366582345055,5510.0,6929.0,5982.0,10932.0,17238.0,12622.0,7923.0,7585.0,9487.0,12992.0,10861.0,7560.0,1491.0,0.0,338.0,26.0,0.0,0.0,0.0,4197.0,3083.0,620.0,22.0,4936.0,10551.0,0.0,0.0,7309.0,4.0,0.0,0.0,7.0,702.0,4299.0,0.0,1.0,41193.0
train_nb\mel\mel00011.jpg,mel,22.196136553535425,34.11077828787044,23.035221362981336,36.35100132819066,3.1792901762623065,4.0140078255562965,3.2928131694846203,4.150671873068022,0.2897987132457608,0.24101231141417256,0.2816983219679618,0.23407075973019678,0.029627833022073464,0.026447716036169026,0.028829544542694138,0.025918350986449356,0.9912425612134456,0.9865617162209386,0.9909203929015697,0.9856795457774723,0.0008778084895838667,0.0006994816835298323,0.0008311426385391853,0.0006717609178567804,0.9515857866706626,79.06115015072488,-0.3558471285323572,0.0006743766747352798,252.67817589576546,5045.211766583689,13.0855592388681,28.916777734612356,13.0855592388681,13179.0,17736.0,16945.0,30753.0,38545.0,34259.0,24169.0,20679.0,21876.0,33599.0,759.0,55892.0,3485.0,0.0,4334.0,39968.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,137.0,146988.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,86.0
