ImagePath,Label,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69
train_nb\scc\scc00002.jpg,scc,3.908348433240702,5.638911139556505,4.282768570229185,5.589910290630692,1.3894288249703783,1.6515093049187168,1.472905186751762,1.663918524412604,0.49715810953460554,0.45248846432815054,0.4797250778106937,0.44892576258227096,0.04973234376052024,0.04626583820778415,0.04835397792116564,0.04597511258950008,0.9960172248761923,0.9942434552568656,0.9956307047128768,0.9942901990459487,0.0024733060159145563,0.0021405277850688595,0.0023381071808005745,0.0021137109776172085,0.974775992068299,4.910750777562223,0.009709314203932787,0.0013428154718932766,327.718273325436,1953.8769260905503,11.223837001668036,4.854365679231963,11.223837001668036,25359.0,30373.0,17188.0,28794.0,30272.0,39036.0,32686.0,41250.0,59184.0,72854.0,108.0,91.0,33.0,0.0,5.0,1262.0,0.0,0.0,0.0,64.0,41.0,4.0,55.0,5031.0,245569.0,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,848.0,6246.0,0.0,918.0,114661.0
train_nb\scc\scc00003.jpg,scc,4.562954657767902,6.720463902024925,4.3803449686754385,6.745274357384475,1.538851485990293,1.8589346114235108,1.5217013566004758,1.8612684920789135,0.46396640094791364,0.4194229895408108,0.4675913043156919,0.41916652478109473,0.052121364393663064,0.04803113319187016,0.05237844704113158,0.0480378381607225,0.9985686365531452,0.9978790382865096,0.9986261481250912,0.9978700811038862,0.002716636626257008,0.0023069897556951715,0.0027435017144406253,0.0023076338951557667,0.9591361887769596,229.82254755356007,-0.8298814432720694,0.0022103274475471016,282.28242600222563,6348.786995020451,11.398541232478202,5.601338029198924,11.398541232478202,17306.0,24622.0,17516.0,41387.0,48640.0,53857.0,36009.0,34753.0,45971.0,56935.0,31168.0,1018.0,357.0,19.0,988.0,1354.0,0.0,0.0,0.0,531.0,137.0,0.0,162.0,114384.0,197933.0,0.0,69.0,2816.0,0.0,0.0,0.0,0.0,2957.0,2485.0,0.0,1386.0,19232.0
train_nb\scc\scc00004.jpg,scc,4.906693199993548,7.185619356572788,4.386033338469944,7.028552115794556,1.440608211869856,1.744313660786286,1.3627378567519253,1.7097791462308052,0.5005302216973267,0.4518043134588799,0.5133665577706952,0.45568866914901407,0.05108706711453147,0.04750248329216676,0.05203019443239793,0.047785668831715894,0.9990142281379839,0.9985496716176485,0.999119723508064,0.998583891282011,0.0026098884263646423,0.002256485918922582,0.0027071411326731326,0.002283470145694424,0.9550971952225816,280.1294975137372,-1.0262910300882444,0.002816588690302878,264.12043326406535,9925.16983248471,11.678391307159444,5.875721763316142,11.678391307159444,14349.0,20694.0,16708.0,44331.0,54634.0,61177.0,35063.0,35987.0,45574.0,48479.0,57728.0,64.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4113.0,2093.0,0.0,5.0,168434.0,87237.0,0.0,25.0,1289.0,0.0,0.0,0.0,0.0,1619.0,37034.0,0.0,18.0,17309.0
train_nb\scc\scc00005.jpg,scc,2.683712292298782,3.8932163110847453,2.298946283297287,3.476010527744442,1.0739647485799022,1.3099004973800437,0.9796695910006334,1.2246965555966571,0.5780727915164181,0.5232676071080516,0.6018563173738342,0.5428528110823361,0.09648745090173742,0.08860165600622218,0.1001914820003092,0.09165747532716526,0.9732811638829344,0.9611686102316679,0.9770883381501748,0.9653315196046287,0.009309828181515191,0.007850253447044925,0.010038333065418282,0.008401092783349906,0.9584455811850775,0.08630590908477877,-0.0003773386017343376,0.007395456497432031,243.66743645890253,197.55889471789172,9.48551355674203,3.0874850927539814,9.48551355674203,12426.0,22125.0,10980.0,40343.0,44518.0,66245.0,34926.0,39921.0,56066.0,49446.0,1.0,1265.0,0.0,0.0,4214.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,0.0,370941.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_nb\scc\scc00006.jpg,scc,19.958444238109895,37.328980749914784,25.81151383725742,34.31751768129163,3.0166305581347257,4.026043014983797,3.221633622470048,3.7889946257158043,0.3069814873319975,0.25397895166866935,0.3045289833001849,0.2633894719688867,0.03546041982931874,0.03104079802196383,0.034573943391656974,0.032238975726310064,0.9905985968223957,0.9821310724163088,0.9877863504297878,0.983708036790043,0.0012574413744715417,0.0009635311418403537,0.0011953575616495008,0.0010393515558816096,0.9451461072923558,403.3384358515534,-1.5612345206384814,0.0008425688528657679,358.6563378752791,4152.732154283822,12.59377021953157,29.34293327681747,12.59377021953157,4970.0,6820.0,6241.0,11754.0,15254.0,13385.0,8873.0,8066.0,8507.0,13330.0,1840.0,469.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,315.0,985.0,0.0,0.0,6035.0,8534.0,0.0,0.0,320.0,84.0,777.0,0.0,0.0,1148.0,15320.0,0.0,0.0,61358.0
train_nb\scc\scc00007.jpg,scc,8.337171154441357,14.87591512980089,11.490014456836027,16.296093029998648,1.9278654699267486,2.5780617369603696,2.296829822387441,2.73434053701422,0.4230520705142896,0.3506002937842363,0.38038221194352273,0.33657478140296865,0.06476022506241913,0.05707477636219427,0.05970750784846634,0.05534074308423283,0.9629315393667681,0.933376505999132,0.949000553918599,0.9266924253737826,0.004193886750135179,0.0032575300967944898,0.0035649864934746696,0.0030625978451150637,0.9413208471990302,3.9374755683344946,-0.033909540216894365,0.0025225374245306425,351.9667185303118,434.27646192031995,10.858211492092806,12.744828281366306,10.858211492092806,4634.0,7026.0,5284.0,11165.0,12926.0,13085.0,8322.0,9343.0,10461.0,14954.0,0.0,36.0,0.0,0.0,129.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,52037.0,0.0,0.0,1321.0,0.0,0.0,0.0,0.0,0.0,17356.0,0.0,0.0,25711.0
train_nb\scc\scc00008.jpg,scc,3.379345983601766,4.855679952311127,3.5172750025240287,4.280353089264955,1.3698290566498934,1.6328489045131471,1.402322640296294,1.5394883558782175,0.49059392642867405,0.4437817207034933,0.4835436821344404,0.45897065112930746,0.0717298268499079,0.06638942804887368,0.0709264101425386,0.06819801683340881,0.9785063175985794,0.9691071393146152,0.9776346946527597,0.9727681216639248,0.005145168059917768,0.004407556156656576,0.005030555655707603,0.004650969500009912,0.977766558169953,0.16739801301609938,-0.0004348227640368537,0.0025340656330976093,322.4628724817224,310.41461348251664,10.164515270430368,4.00770722900056,10.164515270430368,25864.0,30409.0,17021.0,28811.0,30816.0,38206.0,32458.0,41022.0,58103.0,74286.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0,350216.0,0.0,0.0,19441.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4578.0
train_nb\scc\scc00009.jpg,scc,5.570045857665857,7.346172781682373,5.652472753744843,7.398111605800382,1.715610735901295,1.9421932091258258,1.737471505013528,1.9436488906748612,0.4308734333252444,0.39974768652015724,0.4267209547377652,0.3999259352963687,0.05388223913118593,0.05097349512956886,0.053451235079083684,0.05100254010459078,0.9840920265505717,0.979016254939247,0.983866251937765,0.9788606808330053,0.002903295693790304,0.0025982972057241806,0.0028570345314794664,0.0026012590971203906,0.9815775158991391,1.0068138241287916,0.0006236760477342536,0.0017263820695578415,280.65689269840766,693.6790302922406,11.039832146935419,6.490983193534277,11.039832146935419,31687.0,33966.0,19056.0,25169.0,24679.0,29036.0,28501.0,40616.0,62505.0,81781.0,0.0,329.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3742.0,2176.0,0.0,12979.0,349392.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7048.0,0.0,0.0,1325.0
train_nb\scc\scc00010.jpg,scc,3.8003491134007485,4.721038723258197,3.2750476909097688,5.656177066229559,1.2853935629227744,1.4093711828277489,1.2462577912865114,1.4855775755850016,0.5266825726777848,0.5044110447242784,0.5292808238996243,0.49635927275658703,0.06022897906752374,0.05846114826405018,0.06019363906622542,0.057847372569332846,0.9965262632391514,0.9956608837112602,0.9970009204452603,0.994791545756842,0.0036275299195162127,0.0034177058563512577,0.0036232741840350195,0.003346318513175202,0.9566541927409724,28.07418606935035,-0.13123346158256702,0.002777367842361441,303.6757911642742,2172.6006804199856,10.96593156381182,4.362480406195033,10.96593156381182,25607.0,30623.0,14339.0,27355.0,28864.0,34863.0,28739.0,41950.0,68001.0,76655.0,4879.0,3730.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,1079.0,1941.0,0.0,0.0,120310.0,62510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31890.0,144314.0,0.0,106.0,5934.0
train_nb\scc\scc00011.jpg,scc,26.494463072091474,49.913742219288636,30.30394120866539,49.15925741612509,3.2737139395613974,4.504126205195242,3.4624875791084584,4.483789242859341,0.334890836059147,0.27819342424666205,0.32370532682639047,0.2796945453904878,0.04156978482484763,0.039323658481926184,0.04084215750306683,0.03932727338377277,0.9966090261289,0.9935933192435473,0.9961219506743695,0.9936876499862879,0.0017280470103841325,0.0015463501164031653,0.001668081829505318,0.0015466344318020022,0.9252011836821059,474.8975242630858,-1.2319748855776655,0.005977523130328883,269.1262465914424,15559.173354240751,13.481017647904046,38.959237573306424,13.481017647904046,9821.0,15546.0,17142.0,52583.0,96663.0,69965.0,29844.0,20026.0,37136.0,28270.0,59292.0,22541.0,3599.0,0.0,1610.0,2811.0,0.0,0.0,0.0,40.0,5692.0,4601.0,0.0,17681.0,157664.0,0.0,0.0,12464.0,0.0,0.0,0.0,0.0,418.0,14236.0,0.0,0.0,74347.0
