ImagePath,Label,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65
train_nb\bcc\bcc00001.jpg,bcc,9811,13757,6543,15143,17029,21380,13078,14643,17790,27609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.060533798767096,57.474676123884606,69.56811743360673,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00002.jpg,bcc,4698,6915,3910,11371,16260,17099,9434,11079,15921,15467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92030684675699,33.173086717100446,34.537690055066896,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00003.jpg,bcc,3324,5825,1631,6290,5912,10303,4946,6262,8830,10264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.775114324820423,13.937020551942197,24.997222782204588,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00004.jpg,bcc,3672,5606,2306,12096,19578,21697,8389,10583,19780,11206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.24118293032287,51.99789918195419,66.67658542796211,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00005.jpg,bcc,7814,11264,1154,8890,15367,17338,6100,13051,58859,24909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.970471835244936,4.806801663678129,5.01696304470074,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00006.jpg,bcc,2205,3562,1918,7105,9498,12606,5529,5713,7210,7284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.332035353160247,12.878592876316992,23.87715254273255,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00007.jpg,bcc,5224,6102,2968,6771,9529,11576,5827,6587,8028,11671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.581703784655542,20.727015671253806,32.64295642394084,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00008.jpg,bcc,1379,1844,918,4218,5068,5001,2226,2149,5345,3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5983405659476495,2.245801016456408,2.337703848316693,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00009.jpg,bcc,4644,6841,2779,11745,16479,18715,8579,10821,22512,13933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1619009220257,49.950508758713625,61.56775138197753,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00010.jpg,bcc,621,991,557,1665,2303,2731,1299,1237,1368,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24627572016461,15.42048353909465,21.94687242798354,0.0,96571.0,1256.0,0.7692673743098601
train_nb\bcc\bcc00011.jpg,bcc,18789,18931,7726,10685,9661,13463,11225,18760,27875,41974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.47194665195387,65.65894333096372,69.9944402593131,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00012.jpg,bcc,2073,3250,1798,5964,6231,7507,4073,3837,8042,7035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5545523029422066,3.051955458413352,5.200898683275154,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00013.jpg,bcc,8285,10448,3979,10142,12263,15084,7675,9389,12054,18817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.18976593916116,44.74902386232215,49.79078823117487,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00014.jpg,bcc,4686,6318,2447,11519,17393,20475,8199,11410,22129,12142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.715126950949085,53.33814417129094,57.89270443187726,0.0,375769.0,2452.0,0.7853981633974483
train_nb\bcc\bcc00015.jpg,bcc,2033,3203,2076,10139,10613,11875,6186,6692,15843,6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.358582053920997,5.115014482912286,7.448755424460737,0.0,375769.0,2452.0,0.7853981633974483
